================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 12:47:05
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[12:47:06] +   0.2s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:52:10] + 304.9s | RAM: 15.44/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:11] + 305.9s | RAM: 15.46/27.65 GB ( 55.9%) | VRAM: N/A
[12:52:12] + 306.9s | RAM: 15.45/27.65 GB ( 55.9%) | VRAM: N/A
[12:52:13] + 308.0s | RAM: 15.48/27.65 GB ( 56.0%) | VRAM: N/A
[12:52:14] + 309.0s | RAM: 15.48/27.65 GB ( 56.0%) | VRAM: N/A
[12:52:15] + 310.0s | RAM: 15.19/27.65 GB ( 54.9%) | VRAM: N/A
[12:52:16] + 311.0s | RAM: 15.19/27.65 GB ( 54.9%) | VRAM: N/A
[12:52:17] + 312.1s | RAM: 14.96/27.65 GB ( 54.1%) | VRAM: N/A
[12:52:18] + 313.1s | RAM: 14.95/27.65 GB ( 54.1%) | VRAM: N/A
[12:52:19] + 314.1s | RAM: 14.96/27.65 GB ( 54.1%) | VRAM: N/A
[12:52:20] + 315.1s | RAM: 14.97/27.65 GB ( 54.2%) | VRAM: N/A
[12:52:21] + 316.1s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[12:52:22] + 317.1s | RAM: 14.78/27.65 GB ( 53.5%) | VRAM: N/A
[12:52:23] + 318.2s | RAM: 14.62/27.65 GB ( 52.9%) | VRAM: N/A
[12:52:24] + 319.2s | RAM: 14.62/27.65 GB ( 52.9%) | VRAM: N/A
[12:52:26] + 320.2s | RAM: 14.62/27.65 GB ( 52.9%) | VRAM: N/A
[12:52:27] + 321.2s | RAM: 14.66/27.65 GB ( 53.0%) | VRAM: N/A
[12:52:28] + 322.2s | RAM: 14.63/27.65 GB ( 52.9%) | VRAM: N/A
[12:52:29] + 323.2s | RAM: 14.63/27.65 GB ( 52.9%) | VRAM: N/A
[12:52:30] + 324.2s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[12:52:31] + 325.2s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[12:52:32] + 326.3s | RAM: 14.79/27.65 GB ( 53.5%) | VRAM: N/A
[12:52:33] + 327.3s | RAM: 14.82/27.65 GB ( 53.6%) | VRAM: N/A
[12:52:34] + 328.3s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[12:52:35] + 329.3s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[12:52:36] + 330.3s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[12:52:37] + 331.3s | RAM: 13.34/27.65 GB ( 48.2%) | VRAM: N/A
[12:52:38] + 332.4s | RAM: 11.35/27.65 GB ( 41.0%) | VRAM: N/A
[12:52:39] + 333.4s | RAM: 11.26/27.65 GB ( 40.7%) | VRAM: N/A
[12:52:40] + 334.4s | RAM: 11.27/27.65 GB ( 40.8%) | VRAM: N/A
[12:52:41] + 335.4s | RAM: 11.27/27.65 GB ( 40.8%) | VRAM: N/A
[12:52:42] + 336.4s | RAM: 11.27/27.65 GB ( 40.8%) | VRAM: N/A
[12:52:43] + 337.5s | RAM: 11.28/27.65 GB ( 40.8%) | VRAM: N/A
[12:52:44] + 338.5s | RAM: 11.32/27.65 GB ( 41.0%) | VRAM: N/A
[12:52:45] + 339.5s | RAM: 11.52/27.65 GB ( 41.7%) | VRAM: N/A
[12:52:46] + 340.5s | RAM: 11.67/27.65 GB ( 42.2%) | VRAM: N/A
[12:52:47] + 341.5s | RAM: 11.50/27.65 GB ( 41.6%) | VRAM: N/A
[12:52:48] + 342.5s | RAM: 11.47/27.65 GB ( 41.5%) | VRAM: N/A
[12:52:49] + 343.5s | RAM: 11.40/27.65 GB ( 41.2%) | VRAM: N/A
[12:52:50] + 344.6s | RAM: 11.57/27.65 GB ( 41.9%) | VRAM: N/A
[12:52:51] + 345.6s | RAM: 11.88/27.65 GB ( 43.0%) | VRAM: N/A
[12:52:52] + 346.6s | RAM: 12.20/27.65 GB ( 44.1%) | VRAM: N/A
[12:52:53] + 347.6s | RAM: 12.15/27.65 GB ( 43.9%) | VRAM: N/A
[12:52:54] + 348.6s | RAM: 12.13/27.65 GB ( 43.9%) | VRAM: N/A
[12:52:55] + 349.6s | RAM: 12.14/27.65 GB ( 43.9%) | VRAM: N/A
[12:52:56] + 350.7s | RAM: 12.13/27.65 GB ( 43.9%) | VRAM: N/A
[12:52:57] + 351.7s | RAM: 12.28/27.65 GB ( 44.4%) | VRAM: N/A
[12:52:58] + 352.7s | RAM: 12.32/27.65 GB ( 44.5%) | VRAM: N/A
[12:52:59] + 353.7s | RAM: 12.30/27.65 GB ( 44.5%) | VRAM: N/A
[12:53:00] + 354.8s | RAM: 12.18/27.65 GB ( 44.0%) | VRAM: N/A
[12:53:01] + 355.8s | RAM: 12.16/27.65 GB ( 44.0%) | VRAM: N/A
[12:53:02] + 356.8s | RAM: 12.16/27.65 GB ( 44.0%) | VRAM: N/A
[12:53:03] + 357.8s | RAM: 12.30/27.65 GB ( 44.5%) | VRAM: N/A
[12:53:04] + 358.8s | RAM: 12.50/27.65 GB ( 45.2%) | VRAM: N/A
[12:53:05] + 359.8s | RAM: 12.77/27.65 GB ( 46.2%) | VRAM: N/A
[12:53:06] + 360.9s | RAM: 12.77/27.65 GB ( 46.2%) | VRAM: N/A
[12:53:07] + 361.9s | RAM: 12.81/27.65 GB ( 46.4%) | VRAM: N/A
[12:53:08] + 362.9s | RAM: 13.10/27.65 GB ( 47.4%) | VRAM: N/A
[12:53:09] + 363.9s | RAM: 13.12/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:10] + 365.0s | RAM: 13.13/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:11] + 366.0s | RAM: 13.30/27.65 GB ( 48.1%) | VRAM: N/A
[12:53:12] + 367.0s | RAM: 13.12/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:13] + 368.0s | RAM: 13.13/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:14] + 369.0s | RAM: 13.10/27.65 GB ( 47.4%) | VRAM: N/A
[12:53:15] + 370.0s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:16] + 371.1s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:17] + 372.1s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:18] + 373.1s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:19] + 374.1s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:20] + 375.1s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:21] + 376.1s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:22] + 377.2s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:24] + 378.2s | RAM: 13.02/27.65 GB ( 47.1%) | VRAM: N/A
[12:53:25] + 379.2s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:26] + 380.2s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:27] + 381.2s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:28] + 382.2s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:29] + 383.3s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[12:53:30] + 384.3s | RAM: 13.17/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:31] + 385.3s | RAM: 13.18/27.65 GB ( 47.7%) | VRAM: N/A
[12:53:32] + 386.3s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:33] + 387.3s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:34] + 388.3s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:35] + 389.4s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:36] + 390.4s | RAM: 13.17/27.65 GB ( 47.7%) | VRAM: N/A
[12:53:37] + 391.4s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[12:53:38] + 392.4s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:39] + 393.5s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:40] + 394.5s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:41] + 395.5s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:42] + 396.5s | RAM: 13.14/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:43] + 397.5s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[12:53:44] + 398.5s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:45] + 399.6s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:46] + 400.6s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:47] + 401.6s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:48] + 402.6s | RAM: 13.14/27.65 GB ( 47.5%) | VRAM: N/A
[12:53:49] + 403.6s | RAM: 13.17/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:50] + 404.6s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:51] + 405.7s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:52] + 406.7s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:53] + 407.7s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:54] + 408.7s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:55] + 409.7s | RAM: 13.17/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:56] + 410.7s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:57] + 411.8s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:58] + 412.8s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:53:59] + 413.8s | RAM: 13.15/27.65 GB ( 47.6%) | VRAM: N/A
[12:54:00] + 414.8s | RAM: 13.02/27.65 GB ( 47.1%) | VRAM: N/A
[12:54:01] + 415.8s | RAM: 13.16/27.65 GB ( 47.6%) | VRAM: N/A
[12:54:02] + 416.9s | RAM: 14.51/27.65 GB ( 52.5%) | VRAM: N/A
[12:54:03] + 417.9s | RAM: 15.76/27.65 GB ( 57.0%) | VRAM: N/A
[12:54:05] + 419.4s | RAM: 16.19/27.65 GB ( 58.6%) | VRAM: N/A
[12:54:07] + 422.1s | RAM: 18.70/27.65 GB ( 67.6%) | VRAM: N/A
[12:54:08] + 423.2s | RAM: 20.68/27.65 GB ( 74.8%) | VRAM: N/A
[12:54:10] + 424.2s | RAM: 22.23/27.65 GB ( 80.4%) | VRAM: N/A
[12:54:11] + 425.2s | RAM: 20.51/27.65 GB ( 74.2%) | VRAM: N/A
[12:54:12] + 426.2s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:54:13] + 427.2s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[12:54:14] + 428.2s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[12:54:15] + 429.2s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:54:16] + 430.2s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:54:17] + 431.3s | RAM: 13.30/27.65 GB ( 48.1%) | VRAM: N/A
[12:54:18] + 432.3s | RAM: 13.19/27.65 GB ( 47.7%) | VRAM: N/A
[12:54:19] + 433.4s | RAM: 13.22/27.65 GB ( 47.8%) | VRAM: N/A
[12:54:20] + 434.4s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:54:21] + 435.4s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[12:54:22] + 436.4s | RAM: 13.83/27.65 GB ( 50.0%) | VRAM: N/A
[12:54:23] + 437.4s | RAM: 14.18/27.65 GB ( 51.3%) | VRAM: N/A
[12:54:24] + 438.4s | RAM: 14.05/27.65 GB ( 50.8%) | VRAM: N/A
[12:54:25] + 439.5s | RAM: 13.99/27.65 GB ( 50.6%) | VRAM: N/A
[12:54:26] + 440.5s | RAM: 13.94/27.65 GB ( 50.4%) | VRAM: N/A
[12:54:27] + 441.5s | RAM: 13.93/27.65 GB ( 50.4%) | VRAM: N/A
[12:54:28] + 442.5s | RAM: 13.92/27.65 GB ( 50.3%) | VRAM: N/A
[12:54:29] + 443.5s | RAM: 13.83/27.65 GB ( 50.0%) | VRAM: N/A
[12:54:30] + 444.5s | RAM: 13.96/27.65 GB ( 50.5%) | VRAM: N/A
[12:54:31] + 445.6s | RAM: 13.90/27.65 GB ( 50.3%) | VRAM: N/A
[12:54:32] + 446.6s | RAM: 13.87/27.65 GB ( 50.2%) | VRAM: N/A
[12:54:33] + 447.6s | RAM: 13.82/27.65 GB ( 50.0%) | VRAM: N/A
[12:54:34] + 448.7s | RAM: 13.82/27.65 GB ( 50.0%) | VRAM: N/A
[12:54:35] + 449.7s | RAM: 13.77/27.65 GB ( 49.8%) | VRAM: N/A
[12:54:36] + 450.7s | RAM: 13.73/27.65 GB ( 49.7%) | VRAM: N/A
[12:54:37] + 451.7s | RAM: 13.70/27.65 GB ( 49.6%) | VRAM: N/A
[12:54:38] + 452.7s | RAM: 13.66/27.65 GB ( 49.4%) | VRAM: N/A
[12:54:39] + 453.8s | RAM: 13.67/27.65 GB ( 49.4%) | VRAM: N/A
[12:54:40] + 454.8s | RAM: 14.76/27.65 GB ( 53.4%) | VRAM: N/A
[12:54:41] + 456.0s | RAM: 15.88/27.65 GB ( 57.4%) | VRAM: N/A
[12:54:42] + 457.0s | RAM: 15.83/27.65 GB ( 57.3%) | VRAM: N/A
[12:54:43] + 458.0s | RAM: 15.78/27.65 GB ( 57.1%) | VRAM: N/A
[12:54:44] + 459.0s | RAM: 15.74/27.65 GB ( 56.9%) | VRAM: N/A
[12:54:45] + 460.1s | RAM: 15.69/27.65 GB ( 56.7%) | VRAM: N/A
[12:54:46] + 461.1s | RAM: 15.69/27.65 GB ( 56.7%) | VRAM: N/A
[12:54:47] + 462.1s | RAM: 15.72/27.65 GB ( 56.9%) | VRAM: N/A
[12:54:48] + 463.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:49] + 464.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:50] + 465.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:51] + 466.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:52] + 467.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:53] + 468.2s | RAM: 15.72/27.65 GB ( 56.9%) | VRAM: N/A
[12:54:55] + 469.7s | RAM: 15.72/27.65 GB ( 56.8%) | VRAM: N/A
[12:54:58] + 472.2s | RAM: 17.92/27.65 GB ( 64.8%) | VRAM: N/A
[12:54:59] + 473.2s | RAM: 19.73/27.65 GB ( 71.4%) | VRAM: N/A
[12:55:00] + 474.2s | RAM: 21.44/27.65 GB ( 77.6%) | VRAM: N/A
[12:55:01] + 475.2s | RAM: 21.78/27.65 GB ( 78.8%) | VRAM: N/A
[12:55:02] + 476.2s | RAM: 14.76/27.65 GB ( 53.4%) | VRAM: N/A
[12:55:03] + 477.3s | RAM: 13.76/27.65 GB ( 49.8%) | VRAM: N/A
[12:55:04] + 478.3s | RAM: 13.74/27.65 GB ( 49.7%) | VRAM: N/A
[12:55:05] + 479.3s | RAM: 13.75/27.65 GB ( 49.7%) | VRAM: N/A
[12:55:06] + 480.3s | RAM: 13.55/27.65 GB ( 49.0%) | VRAM: N/A
[12:55:07] + 481.3s | RAM: 13.59/27.65 GB ( 49.1%) | VRAM: N/A
[12:55:08] + 482.3s | RAM: 13.61/27.65 GB ( 49.2%) | VRAM: N/A
[12:55:09] + 483.4s | RAM: 13.53/27.65 GB ( 48.9%) | VRAM: N/A
[12:55:10] + 484.4s | RAM: 13.72/27.65 GB ( 49.6%) | VRAM: N/A
[12:55:11] + 485.4s | RAM: 13.74/27.65 GB ( 49.7%) | VRAM: N/A
[12:55:12] + 486.4s | RAM: 14.45/27.65 GB ( 52.3%) | VRAM: N/A
[12:55:13] + 487.4s | RAM: 14.69/27.65 GB ( 53.2%) | VRAM: N/A
[12:55:14] + 488.4s | RAM: 14.53/27.65 GB ( 52.6%) | VRAM: N/A
[12:55:15] + 489.5s | RAM: 14.44/27.65 GB ( 52.2%) | VRAM: N/A
[12:55:16] + 490.5s | RAM: 14.49/27.65 GB ( 52.4%) | VRAM: N/A
[12:55:17] + 491.5s | RAM: 14.39/27.65 GB ( 52.0%) | VRAM: N/A
[12:55:18] + 492.5s | RAM: 14.33/27.65 GB ( 51.8%) | VRAM: N/A
[12:55:19] + 493.6s | RAM: 14.27/27.65 GB ( 51.6%) | VRAM: N/A
[12:55:20] + 494.6s | RAM: 14.27/27.65 GB ( 51.6%) | VRAM: N/A
[12:55:21] + 495.6s | RAM: 14.22/27.65 GB ( 51.4%) | VRAM: N/A
[12:55:22] + 496.6s | RAM: 14.22/27.65 GB ( 51.4%) | VRAM: N/A
[12:55:23] + 497.6s | RAM: 14.17/27.65 GB ( 51.3%) | VRAM: N/A
[12:55:24] + 498.7s | RAM: 14.17/27.65 GB ( 51.2%) | VRAM: N/A
[12:55:25] + 499.7s | RAM: 14.13/27.65 GB ( 51.1%) | VRAM: N/A
[12:55:26] + 500.7s | RAM: 14.10/27.65 GB ( 51.0%) | VRAM: N/A
[12:55:27] + 501.8s | RAM: 14.07/27.65 GB ( 50.9%) | VRAM: N/A
[12:55:28] + 502.8s | RAM: 14.10/27.65 GB ( 51.0%) | VRAM: N/A
[12:55:29] + 503.8s | RAM: 14.23/27.65 GB ( 51.5%) | VRAM: N/A
[12:55:30] + 504.8s | RAM: 14.18/27.65 GB ( 51.3%) | VRAM: N/A
[12:55:31] + 505.9s | RAM: 14.14/27.65 GB ( 51.1%) | VRAM: N/A
[12:55:32] + 506.9s | RAM: 14.14/27.65 GB ( 51.1%) | VRAM: N/A
[12:55:33] + 507.9s | RAM: 14.11/27.65 GB ( 51.0%) | VRAM: N/A
[12:55:34] + 508.9s | RAM: 14.09/27.65 GB ( 51.0%) | VRAM: N/A
[12:55:35] + 510.0s | RAM: 14.26/27.65 GB ( 51.6%) | VRAM: N/A
[12:55:36] + 511.0s | RAM: 14.07/27.65 GB ( 50.9%) | VRAM: N/A
[12:55:37] + 512.0s | RAM: 14.05/27.65 GB ( 50.8%) | VRAM: N/A
[12:55:38] + 513.0s | RAM: 14.00/27.65 GB ( 50.7%) | VRAM: N/A
[12:55:39] + 514.1s | RAM: 13.94/27.65 GB ( 50.4%) | VRAM: N/A
[12:55:40] + 515.1s | RAM: 13.91/27.65 GB ( 50.3%) | VRAM: N/A
[12:55:41] + 516.1s | RAM: 13.91/27.65 GB ( 50.3%) | VRAM: N/A
[12:55:42] + 517.1s | RAM: 13.85/27.65 GB ( 50.1%) | VRAM: N/A
[12:55:44] + 518.2s | RAM: 13.80/27.65 GB ( 49.9%) | VRAM: N/A
[12:55:45] + 519.2s | RAM: 13.76/27.65 GB ( 49.8%) | VRAM: N/A
[12:55:46] + 520.2s | RAM: 13.72/27.65 GB ( 49.6%) | VRAM: N/A
[12:55:47] + 521.2s | RAM: 13.69/27.65 GB ( 49.5%) | VRAM: N/A
[12:55:48] + 522.3s | RAM: 13.68/27.65 GB ( 49.5%) | VRAM: N/A
[12:55:49] + 523.3s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:55:50] + 524.3s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:55:51] + 525.3s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:55:52] + 526.4s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:55:53] + 527.4s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:55:54] + 528.4s | RAM: 13.67/27.65 GB ( 49.5%) | VRAM: N/A
[12:55:55] + 529.4s | RAM: 14.38/27.65 GB ( 52.0%) | VRAM: N/A
[12:55:56] + 530.4s | RAM: 15.80/27.65 GB ( 57.2%) | VRAM: N/A
[12:55:57] + 532.0s | RAM: 16.56/27.65 GB ( 59.9%) | VRAM: N/A
[12:56:00] + 534.9s | RAM: 18.43/27.65 GB ( 66.7%) | VRAM: N/A
[12:56:01] + 536.0s | RAM: 20.34/27.65 GB ( 73.6%) | VRAM: N/A
[12:56:02] + 537.0s | RAM: 21.02/27.65 GB ( 76.0%) | VRAM: N/A
[12:56:03] + 538.0s | RAM: 21.88/27.65 GB ( 79.1%) | VRAM: N/A
[12:56:04] + 539.0s | RAM: 22.55/27.65 GB ( 81.6%) | VRAM: N/A
[12:56:05] + 540.0s | RAM: 14.30/27.65 GB ( 51.7%) | VRAM: N/A
[12:56:06] + 541.0s | RAM: 14.24/27.65 GB ( 51.5%) | VRAM: N/A
[12:56:07] + 542.0s | RAM: 14.27/27.65 GB ( 51.6%) | VRAM: N/A
[12:56:08] + 543.1s | RAM: 14.03/27.65 GB ( 50.8%) | VRAM: N/A
[12:56:09] + 544.1s | RAM: 14.03/27.65 GB ( 50.8%) | VRAM: N/A
[12:56:10] + 545.1s | RAM: 14.03/27.65 GB ( 50.7%) | VRAM: N/A
[12:56:11] + 546.1s | RAM: 14.08/27.65 GB ( 50.9%) | VRAM: N/A
[12:56:12] + 547.1s | RAM: 14.00/27.65 GB ( 50.6%) | VRAM: N/A
[12:56:13] + 548.1s | RAM: 14.05/27.65 GB ( 50.8%) | VRAM: N/A
[12:56:15] + 549.2s | RAM: 14.25/27.65 GB ( 51.5%) | VRAM: N/A
[12:56:16] + 550.2s | RAM: 14.11/27.65 GB ( 51.0%) | VRAM: N/A
[12:56:17] + 551.2s | RAM: 14.33/27.65 GB ( 51.8%) | VRAM: N/A
[12:56:18] + 552.3s | RAM: 15.05/27.65 GB ( 54.4%) | VRAM: N/A
[12:56:19] + 553.3s | RAM: 15.17/27.65 GB ( 54.9%) | VRAM: N/A
[12:56:20] + 554.3s | RAM: 15.24/27.65 GB ( 55.1%) | VRAM: N/A
[12:56:21] + 555.3s | RAM: 15.13/27.65 GB ( 54.7%) | VRAM: N/A
[12:56:22] + 556.4s | RAM: 15.02/27.65 GB ( 54.3%) | VRAM: N/A
[12:56:23] + 557.4s | RAM: 14.94/27.65 GB ( 54.0%) | VRAM: N/A
[12:56:24] + 558.4s | RAM: 14.95/27.65 GB ( 54.1%) | VRAM: N/A
[12:56:25] + 559.4s | RAM: 14.86/27.65 GB ( 53.8%) | VRAM: N/A
[12:56:26] + 560.4s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[12:56:27] + 561.4s | RAM: 14.78/27.65 GB ( 53.5%) | VRAM: N/A
[12:56:28] + 562.4s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[12:56:29] + 563.4s | RAM: 14.72/27.65 GB ( 53.3%) | VRAM: N/A
[12:56:30] + 564.5s | RAM: 14.86/27.65 GB ( 53.7%) | VRAM: N/A
[12:56:31] + 565.5s | RAM: 14.83/27.65 GB ( 53.7%) | VRAM: N/A
[12:56:32] + 566.5s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[12:56:33] + 567.5s | RAM: 14.86/27.65 GB ( 53.8%) | VRAM: N/A
[12:56:34] + 568.5s | RAM: 15.00/27.65 GB ( 54.3%) | VRAM: N/A
[12:56:35] + 569.5s | RAM: 14.81/27.65 GB ( 53.6%) | VRAM: N/A
[12:56:36] + 570.5s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[12:56:37] + 571.6s | RAM: 14.77/27.65 GB ( 53.4%) | VRAM: N/A
[12:56:38] + 572.6s | RAM: 14.73/27.65 GB ( 53.3%) | VRAM: N/A
[12:56:39] + 573.6s | RAM: 14.73/27.65 GB ( 53.3%) | VRAM: N/A
[12:56:40] + 574.7s | RAM: 14.72/27.65 GB ( 53.2%) | VRAM: N/A
[12:56:41] + 575.7s | RAM: 14.68/27.65 GB ( 53.1%) | VRAM: N/A
[12:56:42] + 576.7s | RAM: 14.66/27.65 GB ( 53.0%) | VRAM: N/A
[12:56:43] + 577.7s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[12:56:44] + 578.7s | RAM: 14.71/27.65 GB ( 53.2%) | VRAM: N/A
[12:56:45] + 579.7s | RAM: 14.69/27.65 GB ( 53.1%) | VRAM: N/A
[12:56:46] + 580.7s | RAM: 14.70/27.65 GB ( 53.2%) | VRAM: N/A
[12:56:47] + 581.7s | RAM: 14.67/27.65 GB ( 53.1%) | VRAM: N/A
[12:56:48] + 582.8s | RAM: 14.66/27.65 GB ( 53.0%) | VRAM: N/A
[12:56:49] + 583.8s | RAM: 15.14/27.65 GB ( 54.7%) | VRAM: N/A
[12:56:50] + 584.8s | RAM: 16.73/27.65 GB ( 60.5%) | VRAM: N/A
[12:56:51] + 585.8s | RAM: 18.28/27.65 GB ( 66.1%) | VRAM: N/A
[12:56:53] + 587.9s | RAM: 18.33/27.65 GB ( 66.3%) | VRAM: N/A
[12:56:55] + 589.9s | RAM: 20.00/27.65 GB ( 72.3%) | VRAM: N/A
[12:56:56] + 590.9s | RAM: 21.06/27.65 GB ( 76.2%) | VRAM: N/A
[12:56:57] + 591.9s | RAM: 22.38/27.65 GB ( 81.0%) | VRAM: N/A
[12:56:58] + 592.9s | RAM: 23.63/27.65 GB ( 85.5%) | VRAM: N/A
[12:56:59] + 593.9s | RAM: 24.50/27.65 GB ( 88.6%) | VRAM: N/A
[12:57:00] + 594.9s | RAM: 25.18/27.65 GB ( 91.1%) | VRAM: N/A
[12:57:01] + 596.0s | RAM: 25.85/27.65 GB ( 93.5%) | VRAM: N/A
[12:57:02] + 597.0s | RAM: 26.61/27.65 GB ( 96.3%) | VRAM: N/A
[12:57:03] + 598.0s | RAM: 26.70/27.65 GB ( 96.6%) | VRAM: N/A
[12:57:04] + 599.0s | RAM: 26.64/27.65 GB ( 96.4%) | VRAM: N/A
[12:57:05] + 600.1s | RAM: 26.60/27.65 GB ( 96.2%) | VRAM: N/A
[12:57:06] + 601.1s | RAM: 26.57/27.65 GB ( 96.1%) | VRAM: N/A
[12:57:07] + 602.1s | RAM: 26.54/27.65 GB ( 96.0%) | VRAM: N/A
[12:57:08] + 603.1s | RAM: 26.55/27.65 GB ( 96.0%) | VRAM: N/A
[12:57:09] + 604.1s | RAM: 26.52/27.65 GB ( 95.9%) | VRAM: N/A
[12:57:10] + 605.1s | RAM: 26.52/27.65 GB ( 95.9%) | VRAM: N/A
[12:57:11] + 606.2s | RAM: 26.54/27.65 GB ( 96.0%) | VRAM: N/A
[12:57:12] + 607.2s | RAM: 26.60/27.65 GB ( 96.2%) | VRAM: N/A
[12:57:14] + 608.2s | RAM: 26.69/27.65 GB ( 96.6%) | VRAM: N/A
[12:57:15] + 609.2s | RAM: 26.78/27.65 GB ( 96.9%) | VRAM: N/A
[12:57:16] + 610.2s | RAM: 26.71/27.65 GB ( 96.6%) | VRAM: N/A
[12:57:17] + 611.3s | RAM: 26.70/27.65 GB ( 96.6%) | VRAM: N/A
[12:57:18] + 612.4s | RAM: 26.83/27.65 GB ( 97.1%) | VRAM: N/A
